"id","jahr_an_anno","plz_npa","verbund_communaute_comunita","anzahl_nombre_quantita","flag","geo_point_2d"
"3498",2018,5622,"Z-Pass A-Welle",4,3,"47.3354690337, 8.30000495462"
"3499",2018,5624,"A-Welle",5,3,"47.3287765451, 8.31751792749"
"3500",2018,5625,"A-Welle",5,3,"47.3108869311, 8.29121919927"
"3501",2018,5630,"Libero",4,3,"47.2733164952, 8.34041513407"
"3502",2018,5634,"Tarifverbund Zug",3,3,"47.2640875232, 8.38501797539"
"3503",2018,5634,"Z-Pass A-Welle",30,NA,"47.2640875232, 8.38501797539"
"3504",2018,5634,"ZVV",3,3,"47.2640875232, 8.38501797539"
"3505",2018,5636,"Tarifverbund Zug",3,3,"47.2478468166, 8.36482448593"
"3506",2018,5637,"Tarifverbund Zug",3,3,"47.2308094579, 8.34030772494"
"3507",2018,5642,"Tarifverbund Zug",3,3,"47.2354936541, 8.3901272032"
"3508",2018,5644,"Z-Pass Schwyz/Zug",4,3,"47.2159791582, 8.36358519083"
"3509",2018,5646,"A-Welle",5,3,"47.175316779, 8.35484168613"
"3510",2018,5647,"Passepartout",3,3,"47.168274253, 8.39969431606"
"3511",2018,5703,"Z-Pass A-Welle",23,NA,"47.3495628745, 8.1586227702"
"3512",2018,5705,"A-Welle",5,3,"47.3281270862, 8.17869889576"
"3513",2018,5706,"Z-Pass A-Welle",4,3,"47.3133594839, 8.19299431277"
"3514",2018,5712,"A-Welle",30,NA,"47.2678442259, 8.20965964398"
"3515",2018,5722,"Z-Pass A-Welle",4,3,"47.352924594, 8.10769924823"
"3516",2018,5724,"A-Welle",21,NA,"47.3199328429, 8.15548788964"
"3517",2018,5724,"Z-Pass A-Welle",4,3,"47.3199328429, 8.15548788964"
"3518",2018,5726,"A-Welle",64,NA,"47.3189015973, 8.10399854919"
"3519",2018,5728,"Passepartout",3,3,"47.268970181, 8.14251986984"
"3520",2018,5733,"A-Welle",5,3,"47.2762159348, 8.17112258934"
"3521",2018,5734,"Z-Pass A-Welle",4,3,"47.2625064617, 8.1803483713"
"3522",2018,5736,"A-Welle",5,3,"47.235242911, 8.17904428967"
"3523",2018,5737,"ZVV",3,3,"47.2373330675, 8.18757413181"
"3524",2018,5758,"OSTWIND",5,3,""
"3525",2018,6003,"Tarifverbund Zug",3,3,"47.0504297281, 8.29702015789"
"3526",2018,6005,"Tarifverbund Zug",3,3,"47.0276763273, 8.34157515882"
"3527",2018,6010,"Libero",4,3,"46.9803272213, 8.2558933475"
"3528",2018,6010,"Tarifverbund Zug",3,3,"46.9803272213, 8.2558933475"
"3529",2018,6014,"Passepartout",940,NA,"47.0575779671, 8.24882196111"
"3530",2018,6017,"Passepartout",324,NA,"47.0872421723, 8.13480979522"
"3531",2018,6027,"ZVV",3,3,"47.1710532274, 8.249978844"
"3532",2018,6028,"Passepartout",3,3,"47.1992617448, 8.2314074893"
"3533",2018,6030,"OSTWIND",5,3,"47.0812566966, 8.34277549508"
"3534",2018,6031,"Passepartout",3,3,""
"3535",2018,6033,"Z-Pass Schwyz/Zug",4,3,"47.1020089283, 8.34736525317"
"3536",2018,6034,"Passepartout",139,NA,"47.1299804912, 8.36299229548"
"3537",2018,6034,"ZVV",3,3,"47.1299804912, 8.36299229548"
"3538",2018,6035,"Passepartout",54,NA,"47.1128270118, 8.36620011302"
"3539",2018,6037,"Tarifverbund Zug",28,NA,"47.1126742237, 8.39396965661"
"3540",2018,6038,"Z-Pass Schwyz/Zug",4,3,"47.1340914584, 8.41037628223"
"3541",2018,6039,"Passepartout",3,3,"47.1044514596, 8.37439047343"
"3542",2018,6042,"Z-Pass Schwyz/Zug",4,3,"47.1496483726, 8.39736678181"
"3543",2018,6043,"Passepartout",603,NA,"47.0736563843, 8.36960876427"
"3544",2018,6044,"ZVV",3,3,"47.0940763468, 8.40083911183"
